File	Time (s)	Graph Size	Kernel Size	k	Constraints (total)	Constraints (needed)
../test_instances/final/33_50/cog_10_435.dimacs	0.00	10	0	0	405	0
../test_instances/final/33_50/cog_10_911.dimacs	0.02	10	9	2	405	163
../test_instances/final/33_50/cog_11_1859.dimacs	0.01	11	8	2	550	148
../test_instances/final/33_50/cog_11_2703.dimacs	0.01	11	9	2	550	225
../test_instances/final/33_50/cog_12_1072.dimacs	0.00	12	0	0	726	0
../test_instances/final/33_50/cog_12_1930.dimacs	0.00	12	0	0	726	0
../test_instances/final/33_50/cog_13_451.dimacs	0.00	13	0	0	936	0
../test_instances/final/33_50/cog_13_614.dimacs	0.02	13	11	3	936	362
../test_instances/final/33_50/cog_14_1144.dimacs	0.03	14	9	4	1183	288
../test_instances/final/33_50/cog_14_401.dimacs	0.02	14	11	3	1183	550
../test_instances/final/33_50/cog_15_342.dimacs	0.02	15	13	4	1470	793
../test_instances/final/33_50/cog_15_955.dimacs	0.01	15	10	1	1470	405
../test_instances/final/33_50/cog_16_1457.dimacs	0.00	16	0	0	1800	0
../test_instances/final/33_50/cog_16_3052.dimacs	0.03	16	16	5	1800	1800
../test_instances/final/33_50/cog_17_1386.dimacs	0.01	17	10	1	2176	405
../test_instances/final/33_50/cog_17_3926.dimacs	0.05	17	16	5	2176	1576
../test_instances/final/33_50/cog_18_1804.dimacs	0.02	18	13	3	2601	936
../test_instances/final/33_50/cog_18_2686.dimacs	0.02	18	13	2	2601	662
../test_instances/final/33_50/cog_19_3088.dimacs	0.02	19	13	2	3078	936
../test_instances/final/33_50/cog_19_484.dimacs	0.43	19	15	9	3078	1275
../test_instances/final/33_50/cog_20_1892.dimacs	0.01	20	15	2	3610	1275
../test_instances/final/33_50/cog_20_2439.dimacs	0.98	20	20	15	3610	3250
../test_instances/final/33_50/cog_21_2640.dimacs	0.04	21	16	4	4200	1800
../test_instances/final/33_50/cog_21_690.dimacs	0.00	21	7	1	4200	85
../test_instances/final/33_50/cog_22_2105.dimacs	0.85	22	18	17	4851	2313
